,Street Address,City,Zip,State,full_address
21,1406 W 47th St,Chicago,60609,IL,"1406 W 47th St, Chicago, IL, 60609"
22,E 95th St,Chicago,60617,IL,"E 95th St, Chicago, IL, 60617"
23,2028 E 95th St,Chicago,60617,IL,"2028 E 95th St, Chicago, IL, 60617"
24,7902 S Exchange Ave,Chicago,60617,IL,"7902 S Exchange Ave, Chicago, IL, 60617"
27,609 E 79th St,Chicago,60619,IL,"609 E 79th St, Chicago, IL, 60619"
30,7001 N Clark St,Chicago,60626,IL,"7001 N Clark St, Chicago, IL, 60626"
31,6928 S Pulaski Rd,Chicago,60629,IL,"6928 S Pulaski Rd, Chicago, IL, 60629"
32,2906 W 63rd St,Chicago,60629,IL,"2906 W 63rd St, Chicago, IL, 60629"
34,"4445 N Pulaski Rd, Ste A",Chicago,60630,IL,"4445 N Pulaski Rd, Ste A, Chicago, IL, 60630"
37,2833 N Narragansett Ave,Chicago,60634,IL,"2833 N Narragansett Ave, Chicago, IL, 60634"
39,5601 S Harlem Ave,Chicago,60638,IL,"5601 S Harlem Ave, Chicago, IL, 60638"
42,5640 W Roosevelt Rd,Chicago,60644,IL,"5640 W Roosevelt Rd, Chicago, IL, 60644"
43,3337 W North Ave,Chicago,60647,IL,"3337 W North Ave, Chicago, IL, 60647"
44,5433 W Chicago Ave,Chicago,60651,IL,"5433 W Chicago Ave, Chicago, IL, 60651"
46,7963 S Cicero Ave,Chicago,60652,IL,"7963 S Cicero Ave, Chicago, IL, 60652"
