,#,Zip Code,Location,City,Population,Average Household Income,National Rank,latitude,longitude,geometry
0,1,60606,"41.881988, -87.637329","Chicago, Illinois",1682,100377,#259,41.881988, -87.637329,POINT (-87.63732899999999 41.881988)
1,2,60601,"41.885805, -87.622911","Chicago, Illinois",5591,77374,#961,41.885805, -87.622911,POINT (-87.622911 41.885805)
2,3,60611,"41.893024, -87.618998","Chicago, Illinois",26522,69889,"#1,558",41.893024, -87.618998,POINT (-87.618998 41.893024)
3,4,60614,"41.922667, -87.652537","Chicago, Illinois",65474,68324,"#1,712",41.922667, -87.652537,POINT (-87.652537 41.922667)
4,5,60603,"41.880614, -87.629311","Chicago, Illinois",378,61815,"#2,591",41.880614, -87.629311,POINT (-87.629311 41.880614)
5,6,60655,"41.694722, -87.703687","Chicago, Illinois",29138,59849,"#3,052",41.694722, -87.703687,POINT (-87.703687 41.694722)
6,7,60646,"41.992931, -87.760278","Chicago, Illinois",27016,58232,"#3,331",41.992931, -87.760278,POINT (-87.760278 41.992931)
7,8,60605,"41.857651, -87.615592","Chicago, Illinois",12423,56151,"#3,829",41.857651, -87.615592,POINT (-87.61559200000001 41.857651)
8,9,60657,"41.938964, -87.656811","Chicago, Illinois",66789,55647,"#3,962",41.938964, -87.656811,POINT (-87.656811 41.938964)
9,10,60631,"41.994948, -87.813225","Chicago, Illinois",28832,55316,"#4,054",41.994948, -87.813225,POINT (-87.813225 41.994948)
10,11,60661,"41.882458, -87.643946","Chicago, Illinois",4382,54698,"#4,207",41.882458, -87.643946,POINT (-87.643946 41.882458)
11,12,60652,"41.746234, -87.711953","Chicago, Illinois",39126,53120,"#4,662",41.746234, -87.711953,POINT (-87.71195299999999 41.746234)
12,13,60643,"41.696894, -87.661375","Chicago, Illinois",52568,51305,"#5,334",41.696894, -87.661375,POINT (-87.66137500000001 41.696894)
13,14,60610,"41.900034, -87.636967","Chicago, Illinois",47513,51294,"#5,340",41.900034, -87.636967,POINT (-87.636967 41.900034)
14,15,60634,"41.946189, -87.806117","Chicago, Illinois",74164,50042,"#5,920",41.946189, -87.806117,POINT (-87.806117 41.946189)
15,16,60613,"41.958302, -87.660698","Chicago, Illinois",50548,48381,"#6,572",41.958302, -87.660698,POINT (-87.660698 41.958302)
16,17,60630,"41.972071, -87.756569","Chicago, Illinois",54781,47905,"#6,769",41.972071, -87.756569,POINT (-87.756569 41.972071)
17,18,60656,"41.973544, -87.830234","Chicago, Illinois",27129,47512,"#6,948",41.973544, -87.830234,POINT (-87.830234 41.973544)
18,19,60638,"41.783650, -87.770407","Chicago, Illinois",55788,45173,"#8,278",41.783650, -87.770407,POINT (-87.77040700000001 41.78365)
19,20,60659,"41.991923, -87.704608","Chicago, Illinois",39155,45064,"#8,339",41.991923, -87.704608,POINT (-87.70460799999999 41.991923)
20,21,60641,"41.946466, -87.746971","Chicago, Illinois",73824,42182,"#10,163",41.946466, -87.746971,POINT (-87.746971 41.946466)
21,22,60645,"42.008406, -87.695793","Chicago, Illinois",44197,41438,"#10,766",42.008406, -87.695793,POINT (-87.69579299999999 42.008406)
22,23,60618,"41.946755, -87.702861","Chicago, Illinois",98147,41355,"#10,831",41.946755, -87.702861,POINT (-87.702861 41.946755)
23,24,60607,"41.874503, -87.651322","Chicago, Illinois",15552,40972,"#11,187",41.874503, -87.651322,POINT (-87.65132199999999 41.874503)
24,25,60633,"41.661941, -87.557757","Chicago, Illinois",13262,40792,"#11,359",41.661941, -87.557757,POINT (-87.557757 41.661941)
25,26,60629,"41.774690, -87.714185","Chicago, Illinois",113984,40279,"#11,862",41.774690, -87.714185,POINT (-87.714185 41.77469)
26,27,60639,"41.920639, -87.755793","Chicago, Illinois",92951,40165,"#11,993",41.920639, -87.755793,POINT (-87.755793 41.920639)
27,28,60625,"41.973081, -87.699751","Chicago, Illinois",91351,40083,"#12,067",41.973081, -87.699751,POINT (-87.69975100000001 41.973081)
28,29,60622,"41.901894, -87.672630","Chicago, Illinois",76015,38487,"#13,471",41.901894, -87.672630,POINT (-87.67263 41.901894)
29,30,60628,"41.692200, -87.617859","Chicago, Illinois",87827,38210,"#13,710",41.692200, -87.617859,POINT (-87.617859 41.6922)
30,31,60632,"41.810213, -87.711761","Chicago, Illinois",87577,37406,"#14,486",41.810213, -87.711761,POINT (-87.711761 41.810213)
31,32,60620,"41.740481, -87.653749","Chicago, Illinois",85771,36334,"#15,718",41.740481, -87.653749,POINT (-87.653749 41.740481)
32,33,60617,"41.718172, -87.555846","Chicago, Illinois",96288,35534,"#16,817",41.718172, -87.555846,POINT (-87.555846 41.718172)
33,34,60647,"41.921117, -87.701899","Chicago, Illinois",98769,35283,"#17,179",41.921117, -87.701899,POINT (-87.701899 41.921117)
34,35,60660,"41.990561, -87.664706","Chicago, Illinois",47726,34293,"#18,281",41.990561, -87.664706,POINT (-87.664706 41.990561)
35,36,60619,"41.743383, -87.605811","Chicago, Illinois",74963,33631,"#19,016",41.743383, -87.605811,POINT (-87.605811 41.743383)
36,37,60651,"41.902029, -87.740432","Chicago, Illinois",77583,32622,"#20,131",41.902029, -87.740432,POINT (-87.740432 41.902029)
37,38,60640,"41.972347, -87.663982","Chicago, Illinois",74030,32466,"#20,338",41.972347, -87.663982,POINT (-87.663982 41.972347)
38,39,60615,"41.801502, -87.603332","Chicago, Illinois",45096,31571,"#21,544",41.801502, -87.603332,POINT (-87.60333199999999 41.801502)
39,40,60626,"42.009340, -87.669902","Chicago, Illinois",59251,31318,"#21,874",42.009340, -87.669902,POINT (-87.66990199999999 42.00934)
40,41,60604,"41.878266, -87.626150","Chicago, Illinois",78,31250,"#22,034",41.878266, -87.626150,POINT (-87.62615 41.878266)
41,42,60616,"41.844977, -87.629846","Chicago, Illinois",47073,30625,"#22,833",41.844977, -87.629846,POINT (-87.629846 41.844977)
42,43,60623,"41.847079, -87.719446","Chicago, Illinois",108144,28203,"#25,459",41.847079, -87.719446,POINT (-87.719446 41.847079)
43,44,60608,"41.848647, -87.672320","Chicago, Illinois",92472,28026,"#25,660",41.848647, -87.672320,POINT (-87.67232 41.848647)
44,45,60636,"41.775708, -87.669011","Chicago, Illinois",51451,27727,"#25,924",41.775708, -87.669011,POINT (-87.669011 41.775708)
45,46,60649,"41.763484, -87.570411","Chicago, Illinois",54823,27699,"#25,950",41.763484, -87.570411,POINT (-87.57041099999999 41.763484)
46,47,60644,"41.880614, -87.756903","Chicago, Illinois",59059,26930,"#26,707",41.880614, -87.756903,POINT (-87.75690299999999 41.880614)
47,48,60609,"41.812680, -87.656935","Chicago, Illinois",79469,25705,"#27,744",41.812680, -87.656935,POINT (-87.656935 41.81268)
48,49,60612,"41.880500, -87.687967","Chicago, Illinois",37990,25143,"#28,132",41.880500, -87.687967,POINT (-87.687967 41.8805)
49,50,60602,"41.883067, -87.629187","Chicago, Illinois",70,23750,"#28,954",41.883067, -87.629187,POINT (-87.629187 41.883067)
50,51,60637,"41.780673, -87.603500","Chicago, Illinois",57090,23228,"#29,245",41.780673, -87.603500,POINT (-87.6035 41.780673)
51,52,60624,"41.880048, -87.722352","Chicago, Illinois",45647,22426,"#29,603",41.880048, -87.722352,POINT (-87.722352 41.880048)
52,53,60621,"41.776404, -87.640058","Chicago, Illinois",47514,19718,"#30,613",41.776404, -87.640058,POINT (-87.640058 41.776404)
53,54,60653,"41.819722, -87.611809","Chicago, Illinois",34502,14205,"#31,478",41.819722, -87.611809,POINT (-87.61180899999999 41.819722)
54,55,60654,"41.888109, -87.636652","Chicago, Illinois",7,0,"#31,998",41.888109, -87.636652,POINT (-87.636652 41.888109)
